,uniq_id,product_name_FK,retail_price_FK,discounted_price_at_FK,product_name_AMZ,retail_price_AMZ,discounted_price_at_AMZ
27,dee64864c0419bec80fbbb94d19bc40d,Angelfish Silk Potali Potli,999,399,ANGELFISH SILK POTALI POTLI,983,482
31,6ef0a5eb033cd610d455be7102da5685,Vishudh Printed Women's Straight Kurta,999,499,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,987,562
32,c9c27aa5dc7df49e82e55e8abb6b4020,Vishudh Printed Women's Straight Kurta,899,449,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,892,556
33,8bc90f8a2ab89daa6ea69d42fe24c985,Vishudh Printed Women's Anarkali Kurta,2099,1049,VISHUDH PRINTED WOMEN'S ANARKALI KURTA,2089,1161
36,cb02f195bbaabc773c7103accf6614a3,MASARA Solid Women's Straight Kurta,1399,599,MASARA SOLID WOMEN'S STRAIGHT KURTA,1396,686
37,169902631b89202f0e2079e9cc09b3c7,Vishudh Printed Women's Straight Kurta,899,449,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,887,544
38,d8dfa5cfc972119fb2fb7ed330b8be54,Rapter BNC-047 BNC Wire Connector,1299,899,RAPTER BNC-047 BNC WIRE CONNECTOR,1288,1023
40,06ad8323cf9105f1aaae6515cf08a7d6,Vishudh Printed Women's Straight Kurta,899,449,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,888,554
42,3ecb859759e5311cbab6850e98879522,Vishudh Printed Women's Straight Kurta,899,449,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,879,512
43,5614ccefd0ab9bee5cd28bf3d38fd12f,Vishudh Printed Women's Straight Kurta,899,449,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,879,534
44,aff8be089d14317011f1cc3eba810b6d,MASARA Solid Women's Straight Kurta,1399,599,MASARA SOLID WOMEN'S STRAIGHT KURTA,1382,711
45,b75e9fbc54e49dcee551709bd63e243c,MASARA Solid Women's Straight Kurta,1399,550,MASARA SOLID WOMEN'S STRAIGHT KURTA,1382,694
46,d620fa0d35825bb3c0717e9d3446cc97,Roadster Men's Zipper Solid Cardigan,1399,699,ROADSTER MEN'S ZIPPER SOLID CARDIGAN,1380,887
47,ee383a337af67ae8ad4f42714d67ddaf,Vishudh Printed Women's Straight Kurta,999,499,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,995,638
48,97b8a04ee0c6f158ed18a99cfc2bd6ed,Noor Embroidered Women's Straight Kurta,1649,849,NOOR EMBROIDERED WOMEN'S STRAIGHT KURTA,1639,1041
49,154968876a45c0e99d35b5d57290d0b3,MASARA Solid Women's Straight Kurta,1399,599,MASARA SOLID WOMEN'S STRAIGHT KURTA,1388,660
50,0305111c779fe663bd94122bef0f0002,Vishudh Printed Women's Straight Kurta,899,449,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,888,562
51,80993e88a0224c71617e37dcd1e17745,Libas Printed Women's A-line Kurta,899,449,LIBAS PRINTED WOMEN'S A-LINE KURTA,887,570
52,f3ff4d066fa5290970f46762caa5c73a,Libas Printed Women's Anarkali Kurta,1849,924,LIBAS PRINTED WOMEN'S ANARKALI KURTA,1831,1142
53,fabe2ce4a6b7510fa1bac6922156ab7b,MASARA Solid Women's Straight Kurta,999,499,MASARA SOLID WOMEN'S STRAIGHT KURTA,981,647
54,7a7e587d3344885bdb8c77f8b7679483,Vermello Men Casual Brown Genuine Leather Belt,1495,795,VERMELLO MEN CASUAL BROWN GENUINE LEATHER BELT,1488,918
55,55b85ea15a1536d46b7190ad6fff8ce7,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,1899,899,ELEGANCE POLYESTER MULTICOLOR ABSTRACT EYELET DOOR CURTAIN,1898,1145
59,1b2c6d2ef16b8b391aa0221ebd673ce3,CASEDEAL Microsoft Nokia lumia x2 Back Panel,1999,380,CASEDEAL Microsoft Nokia lumia x2 Back Panel,1989,472
60,b129a98c7c0e905ca82fd73db63d9bd0,Mario Gotze Women's Printed Casual Orange Shirt,1499,899,Mario Gotze Women's Printed Casual Orange Shirt,1486,1162
61,6325b6870c54cd47be6ebfbffa620ec7,Jaipur Print Cotton Floral King sized Double Bedsheet,2599,698,Jaipur Print Cotton Floral King sized Double Bedsheet,2595,864
63,c3f924e0e4c823c62d58de0c17ba86d6,Jaipur Print Cotton Floral King sized Double Bedsheet,2599,698,Jaipur Print Cotton Floral King sized Double Bedsheet,2589,806
64,38cc9b40b62bef29b49e3c6b501b9dba,Babeezworld Dungaree Baby Boy's  Combo,999,499,Babeezworld Dungaree Baby Boy's  Combo,997,565
67,9b9dc9b2609d1ee4f5196221eca22eb7,Silver Streak Men's Printed Casual Denim Shirt,1299,599,Silver Streak Men's Printed Casual Denim Shirt,1298,713
70,2b480f41409d22cb3ba9f71a0242cf1a,Carlton Boots,3495,1223,Carlton Boots,3484,1379
71,e52f90f908db98de5f78645ccf03024c,"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",1095,595,"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",1087,769
72,f355cc1ccb08bd0d283ed979b7ee7515,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",1099,449,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",1088,561
75,15f03b13b010db0a355ae094fddc9e86,Steppings Trendy Boots,1799,719,Steppings Trendy Boots,1791,844
76,0aa9c84298f0b956cb879d87ff728bf8,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1099,399,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1084,468
77,a66b8f58ac663190586f5c1a9745e56f,Catwalk Boots,2095,999,Catwalk Boots,2086,1283
79,dd0e3470a7e6ed76fd69c2da27721041,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,999,399,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,990,469
85,16655211772e017f8e207c24b8340214,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1199,429,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1189,513
87,47b08bfc60cb74872ac29ccb93b64ca7,Myra Comfortable Boots,1049,499,Myra Comfortable Boots,1038,573
88,920154acbe49d3202ed7d2ed2df1ea13,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",2000,699,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",1991,896
90,3b53afd15e056d3ef13be8bbc90a35c9,Kielz Ladies Boots,2299,899,Kielz Ladies Boots,2295,1019
91,3a9689400032bf48b5487b9a878b90e7,Kielz Ladies Boots,1999,999,Kielz Ladies Boots,1996,1187
94,b8950a817c882307669cc6cdc34fbb93,Fluid DMF-002-GR01 Digital Watch  - For Boys,1699,849,Fluid DMF-002-GR01 Digital Watch  - For Boys,1682,1026
95,fb2392b67efbdcd335221c79b880f303,Steppings Trendy Boots,1599,639,Steppings Trendy Boots,1587,825
97,811ac21c8b5e08260dc0ee4288cbb472,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1099,399,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1085,472
103,1e8741b5ae27a513546c94b3f3312aee,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",1200,399,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",1181,444
104,1cbd0a513268feade315cb09bdfb66e4,"Felix Y 39 Analog Watch  - For Boys, Men",1550,525,"Felix Y 39 Analog Watch  - For Boys, Men",1536,602
106,1152067424d4a5a6f562e62692452da0,Kielz Ladies Boots,2299,899,Kielz Ladies Boots,2295,1116
109,423ec6b3b699983c31faa16a39fcb60e,Steppings Trendy Boots,2199,1099,Steppings Trendy Boots,2198,1415
110,78c73a39ced929d204418bcc80f3058d,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",475,333,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",466,368
111,8be1f8b6f7207c71205c652e0a2cac75,"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",1095,595,"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",1083,739
112,eb4f1bcaca52402bc2ec1a93dce85013,Vencer Stella 7lyt1011 Digital Watch  - For Boys,399,144,Vencer Stella 7lyt1011 Digital Watch  - For Boys,381,178
114,a6f4e66cf99bce007792c6a8fdbb3d10,Sneha Unique Boots,1799,899,Sneha Unique Boots,1794,1026
115,adc5274c2422dbc21185039f7589d3e6,Timer TC_-_690143 Analog Watch  - For Boys,1299,549,Timer TC_-_690143 Analog Watch  - For Boys,1287,707
117,1e612e880fe7119f93caf9a1c5ffb6b4,Kielz Ladies Boots,2499,1149,Kielz Ladies Boots,2492,1393
119,8782cc47269fa18d54998b55ed1124a9,Kielz Ladies Boots,2299,899,Kielz Ladies Boots,2287,1067
121,eca609c78e79ab510dc43cffeef22cc2,Selfie Boots,1200,599,Selfie Boots,1191,773
122,bbb8cdc5406ff60ff06ff64630f2ca47,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",799,200,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",790,233
123,a7217cbdcf32fcfc22080c02b2bdb2b9,Kielz Ladies Boots,2499,1149,Kielz Ladies Boots,2485,1446
127,a9078723d7abc68d9f5adaf42d502583,Bruno Manetti 676 Boots,2999,1199,Bruno Manetti 676 Boots,2979,1482
128,65fee026fb77433fdcc4ad8c2f6a0239,"Estilo 1056 Analog Watch  - For Boys, Men",1299,299,"Estilo 1056 Analog Watch  - For Boys, Men",1295,371
129,5479bb7028827d60000720a2c135976a,Jack klein BlackLed Digital Watch  - For Boys,999,150,Jack klein BlackLed Digital Watch  - For Boys,994,187
130,733aa1e801a139fa8dc7be9f0eff5ee0,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",235,150,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",220,176
133,ba2673ae70331fae9834a1e89222407b,"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",999,149,"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",996,164
136,5f081c3b36ae72605ad87d65561802f8,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",1395,350,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",1378,392
138,06c75f30f1b28273c4d3b0df8f2e8eb8,Steppings Trendy Boots,2199,1099,Steppings Trendy Boots,2185,1390
139,16e51ebfe30d03f9d1563e0fbc0af062,Swag 670038 Analog Watch  - For Boys,2499,899,Swag 670038 Analog Watch  - For Boys,2480,1126
140,906b3a5912453ffced2dbd0fc4bd495c,Bonzer Boots,999,499,Bonzer Boots,987,582
141,7ebca8e1830a1a7041f77c342b1282ee,Roadster Skinny Fit Fit Men's Jeans,2499,1249,Roadster Skinny Fit Fit Men's Jeans,2495,1414
142,e48133816aeb071339fcb03b9e8c0c32,Selfie Black Denim Boots,1000,499,Selfie Black Denim Boots,990,638
145,ccfdfc13491abbf4225b1e31c83f7a9f,"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",399,159,"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",398,180
148,62c35de4df27437d3597963fac55a8b6,"Franck Bella FB74C Analog Watch  - For Boys, Men",1299,780,"Franck Bella FB74C Analog Watch  - For Boys, Men",1295,931
150,92575fe20a9a1795c4e26c9299166122,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",2345,1179,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",2343,1456
151,a259ce93922e4a85da7777496d74d7dd,Kielz Ladies Boots,1899,999,Kielz Ladies Boots,1883,1236
152,d7ca2b06b4f4d3b98c61c377b18a2d6b,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1799,1199,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1784,1327
157,f0ddd7ea1e184721acac4cb9a21e77b3,Steppings Trendy Boots,1599,639,Steppings Trendy Boots,1592,734
161,324f32c19cf1fab802126f11ea1de785,"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",999,299,"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",988,354
164,4b2c7a17ad687d238245e63b52c07721,Selfie Boots,1200,599,Selfie Boots,1183,751
167,88894166380fea0ef00618c9fe64154c,Get Glamr Stylish Boots,1999,499,Get Glamr Stylish Boots,1992,596
168,4131687c6dd5e3689c56e604e2992027,"Felix 3541 W-S METAL Analog Watch  - For Boys, Girls",1350,555,"Felix 3541 W-S METAL Analog Watch  - For Boys, Girls",1340,719
169,f1c0ff9c0a038fe4164bb013a80de8ad,Steppings Trendy Boots,1799,719,Steppings Trendy Boots,1789,910
172,a6456e9e8f9a8ceaa2d68eee7a94c87d,"Vizion 8502-4BLUE Sports Series Digital Watch  - For Boys, Girls",1095,595,"Vizion 8502-4BLUE Sports Series Digital Watch  - For Boys, Girls",1076,736
175,2a342edc6ce89cb5c6892be8c78c1af1,Sam Stefy Boots,1050,449,Sam Stefy Boots,1041,565
178,fe0641da3a28bc42a1cc7dbf45178644,Get Glamr Dazzle Boots,3499,499,Get Glamr Dazzle Boots,3482,584
179,f5b56b74cab686a72d10d5fd212fb81e,"Jack Klein Goldjack Analog Watch  - For Boys, Men",1999,262,"Jack Klein Goldjack Analog Watch  - For Boys, Men",1989,296
180,b79ed9e338cf028d849dae39f6c39ea7,Kielz Ladies Boots,2799,1299,Kielz Ladies Boots,2787,1488
182,be0aa17665e9a27ef1ab0ce134e6aee5,Kielz Ladies Boots,1999,999,Kielz Ladies Boots,1987,1233
184,e0f0808a8985bf1de9449f7ff544bab6,Catwalk Boots,2095,999,Catwalk Boots,2079,1256
189,137f121c9d6bc7a57276601492659060,"Sale Funda SFGFU694 Analog Watch  - For Boys, Men",2499,599,"Sale Funda SFGFU694 Analog Watch  - For Boys, Men",2484,728
190,d6769423b5a242f243dfac15cf2c099b,Steppings Trendy Boots,2199,1099,Steppings Trendy Boots,2179,1295
191,c627c22b7509fbcda4f345a2c2d71765,"Britex BT2050+BT3101 He & She Analog Watch  - For Couple, Women, Men, Boys, Girls",1990,699,"Britex BT2050+BT3101 He & She Analog Watch  - For Couple, Women, Men, Boys, Girls",1976,819
192,b0a058029072532046d05ac98ff1cae9,"3wish CUR-BLUE Silver Blue 8023 Analog Watch  - For Boys, Men",2999,995,"3wish CUR-BLUE Silver Blue 8023 Analog Watch  - For Boys, Men",2994,1131
193,4620e6de2e02c35d401247a94825710b,J.D.H. 111-222 Boots,1500,599,J.D.H. 111-222 Boots,1495,767
194,4aa047f14885c74f155ce5f973e14dff,"Disney 98189 Analog Watch  - For Boys, Girls",1800,900,"Disney 98189 Analog Watch  - For Boys, Girls",1794,1032
196,feb1e09790d2e4ed3c7a2f340b29b5d2,"Lenco DCOMPASS2010 Quazi Analog-Digital Watch  - For Men, Boys",1999,849,"Lenco DCOMPASS2010 Quazi Analog-Digital Watch  - For Men, Boys",1997,1102
200,3ffcf4706979d2f33eef3760e8c9bbd8,"Rockstar R_056 Chrono Analog Watch  - For Men, Boys",1299,299,"Rockstar R_056 Chrono Analog Watch  - For Men, Boys",1287,333
201,4af05dd757791f1e82e22660fecb16e6,Selfie Boots,1200,599,Selfie Boots,1185,710
202,b52073e7ed9c00c4108cae4eb0c49c1a,"Vizion 8502-7PURPLE Sports Series Digital Watch  - For Boys, Girls",1095,595,"Vizion 8502-7PURPLE Sports Series Digital Watch  - For Boys, Girls",1075,701
204,ee8d9ff65e0fe4278afce7c933d30941,"Elantra S 10 Analog Watch  - For Boys, Men",2150,950,"Elantra S 10 Analog Watch  - For Boys, Men",2136,1094
205,01a9353b9d20f72b12844dae15a8d77a,Willy Winkies Black Boots,1499,999,Willy Winkies Black Boots,1484,1117
206,671fdf870f28e7f2cfe273cc94c4c56b,DJH Boots,999,499,DJH Boots,980,578
208,8b1c8e10ebebd9c7a7cdb1a791c5b555,Get Glamr Stylish Boots,1999,499,Get Glamr Stylish Boots,1981,631
213,aa6f88f737d0ac54dbf840e12955cac4,Steppings Trendy Boots,2199,1099,Steppings Trendy Boots,2182,1234
214,72ee12931eef1360713ce545939bedc3,"Eleganzza Denim Denim Analog Watch  - For Men, Women, Boys, Girls, Couple",1299,499,"Eleganzza Denim Denim Analog Watch  - For Men, Women, Boys, Girls, Couple",1298,648
216,ef23af49bf28973866e3b39bab1658a8,Bruno Manetti 664 Boots,2999,1199,Bruno Manetti 664 Boots,2998,1485
217,29b1ca231e10d5269516b80bf9d0dffc,"Lenco Bdblue Tango Analog Watch  - For Men, Boys",1499,599,"Lenco Bdblue Tango Analog Watch  - For Men, Boys",1480,682
219,0ee21bed347d127ea1390ea790b6d7ae,"Shoppingekart DS0222 Rewin Pack of 3 Digital Watch  - For Boys, Girls, Couple, Men",2399,479,"Shoppingekart DS0222 Rewin Pack of 3 Digital Watch  - For Boys, Girls, Couple, Men",2381,535
221,6f46e8c0baeb4143f10e61fef49f976d,Steppings Trendy Boots,1799,719,Steppings Trendy Boots,1780,820
224,01d05970b33f87076292f476bf210625,"SwissFire 205SM005 Analog Watch  - For Boys, Men",2195,1207,"SwissFire 205SM005 Analog Watch  - For Boys, Men",2176,1500
226,80434e3630d67b0ed36b587041d4bc9d,"A Avon PK_741 Analog Watch  - For Men, Boys",1299,639,"A Avon PK_741 Analog Watch  - For Men, Boys",1285,803
227,a756418e7bbcd26d9d43fb7548dc845d,Carl 3346-1-Cheetablue Boots,2299,1149,Carl 3346-1-Cheetablue Boots,2296,1398
229,a66eb5d26256dba8c1d22022603776c0,Swag 670014 Analog Watch  - For Boys,1499,599,Swag 670014 Analog Watch  - For Boys,1498,740
230,11c0099e325b67f908e75803bb6b9135,"ezyPRNT ""RH"" Golf Ball -   Size: 4.26 cm,  Diameter: 4.26 cm",1195,595,"ezyPRNT ""RH"" Golf Ball -   Size: 4.26 cm,  Diameter: 4.26 cm",1181,656
231,cd7189193ec8bdb1b4a0ed04d40b3a0a,"ezyPRNT ""BC"" Golf Ball -   Size: 4,  Diameter: 4.26 cm",1195,595,"ezyPRNT ""BC"" Golf Ball -   Size: 4,  Diameter: 4.26 cm",1177,744
232,2f1e410832e4e010fa18923c3d4ec588,"ezyPRNT ""OL"" Golf Ball -   Size: 4.26 cm,  Diameter: 4.26 cm",1195,595,"ezyPRNT ""OL"" Golf Ball -   Size: 4.26 cm,  Diameter: 4.26 cm",1176,730
233,fb5a9da340b7910d4e0802c9aee1f4b9,"ezyPRNT ""CV"" Golf Ball -   Size: 4,  Diameter: 4.26 cm",1195,595,"ezyPRNT ""CV"" Golf Ball -   Size: 4,  Diameter: 4.26 cm",1189,721
235,4196784976356eafc3316b7d51c6eaab,First Choice Cotton Embroidered Diwan Set,2199,979,First Choice Cotton Embroidered Diwan Set,2192,1178
236,d6abf5d1b5dd2dd4a625112c2054aa26,Eccellente Solid Hip Hop Cap,899,336,Eccellente Solid Hip Hop Cap,879,422
237,e920cf23fa55a8c5538d65b5f0dcfd33,Nechams Resin Magnetic Magnetic Melamine Small Whiteboards,1799,799,Nechams Resin Magnetic Magnetic Melamine Small Whiteboards,1798,977
239,aefde3ea5e7e1244ff473b53095bf1af,First Choice Cotton Embroidered Diwan Set,2199,979,First Choice Cotton Embroidered Diwan Set,2197,1181
240,6765b10d2c6cb4d95beeb920d1cda181,First Choice Cotton Embroidered Diwan Set,2199,979,First Choice Cotton Embroidered Diwan Set,2194,1090
241,5a2976b3b270d95e7b628c02d9605a8d,JASPO Thunder Intact Superior Senior Skates Combo (skates+helmet+knee+elbow+bag)suitable for age upto 6 to 14 years Skating Kit,1399,770,JASPO Thunder Intact Superior Senior Skates Combo (skates+helmet+knee+elbow+bag)suitable for age upto 6 to 14 years Skating Kit,1380,923
243,87ff92f89ef9d34b3d71c36955ce591a,ACM Pouch for Swipe Elite Plus,990,339,ACM Pouch for Swipe Elite Plus,989,376
244,11d524b2d4c0597d8a5a82a562679c8a,A R ENTERPRISES musical wlking cow,999,299,A R ENTERPRISES musical wlking cow,995,361
245,0f72f9bbcc8af5a61a77807ac3a7da00,First Choice Cotton Embroidered Diwan Set,2199,979,First Choice Cotton Embroidered Diwan Set,2186,1132
246,b85f8843bb1c297dd5712f0bd287006d,SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set,2199,979,SANTOSH ROYAL FASHION Cotton Embroidered Diwan Set,2197,1135
247,ffd548198da759cf2e16b1f0956a25b5,First Choice Cotton Embroidered Diwan Set,2199,979,First Choice Cotton Embroidered Diwan Set,2195,1096
248,586eeb4560a368e6fbb5d73af3e3aa93,ShoeBuzz Casuals,799,247,ShoeBuzz Casuals,784,316
249,eff607ce599e3838eb6c59924ef228c6,ACM Pouch for Intex Aqua Lions 3g,990,339,ACM Pouch for Intex Aqua Lions 3g,983,419
250,74e0a83132ff1773921a9cd753dd1dc8,womaniya Alloy Bracelet,2000,1200,womaniya Alloy Bracelet,1992,1450
251,e9a27ff8a97baeafe5eca5d85650bf14,Taj Pearl Alloy Cuff,665,399,Taj Pearl Alloy Cuff,662,469
253,58fa040c7ec0abf7cfcbf80f838a2143,Taj Pearl Alloy Cuff,665,399,Taj Pearl Alloy Cuff,660,472
254,4eeb1b062357172bcb2a2a2dc4b0f174,Bento Musical Teddy Bear,199,63,Bento Musical Teddy Bear,192,73
255,0e97b487f7bbe29daa0a95860e237998,Wake Up Competition Full Sleeve Striped Men's Sweatshirt,1495,748,Wake Up Competition Full Sleeve Striped Men's Sweatshirt,1483,948
256,3adf968486ce470227c52778fc7a7991,Taj Pearl Alloy Cuff,665,399,Taj Pearl Alloy Cuff,648,504
257,9d01e24c377a84d8e4303f5365a2bcd1,Taj Pearl Alloy Cuff,665,399,Taj Pearl Alloy Cuff,653,512
259,729db8fe88aad88f3d20bce09967fe76,Sisel Printed Poly Cotton Women's Stole,299,128,Sisel Printed Poly Cotton Women's Stole,282,159
260,72799672e2bc3c0ee7bcead60aaf6404,"Knight Ace Kraasa Sports Running Shoes, Cycling Shoes, Walking Shoes",1299,499,"Knight Ace Kraasa Sports Running Shoes, Cycling Shoes, Walking Shoes",1289,580
261,3562b922f66f3d5f650974435293e8a6,"Great Art Floral Print Wool, Viscose, 20% Kashmiri wool, 50% Cashmilon and 30% Wool ruffle yarn Women's Stole",1099,493,"Great Art Floral Print Wool, Viscose, 20% Kashmiri wool, 50% Cashmilon and 30% Wool ruffle yarn Women's Stole",1079,571
262,29146dc253f1b65d63f14f84c7afa6c5,Indistar Self Design Viscose Women's Stole,478,239,Indistar Self Design Viscose Women's Stole,474,277
264,22bb7e0420985bcca1f32560a4b52cf9,Zoe Marciano Blue Heavy-duty satin wong fabric  Clutch,1599,699,Zoe Marciano Blue Heavy-duty satin wong fabric  Clutch,1592,802
265,a0add32b9076467feb5b3e1376d4e18e,Indistar Self Design Viscose Women's Stole,898,449,Indistar Self Design Viscose Women's Stole,890,571
266,796e52c782c71e33f33b6665d410f21e,Zoe Marciano Blue Heavy-duty satin wong fabric  Clutch,1599,699,Zoe Marciano Blue Heavy-duty satin wong fabric  Clutch,1581,899
268,d084ebfdd61a98960b4e4b728bfea559,"Kleio Festive, Party, Casual Blue PU  Clutch",1899,999,"Kleio Festive, Party, Casual Blue PU  Clutch",1891,1253
269,f95b98fb80f07e617f155524467d25c3,Skipper Blends Aqua Striped Eyelet Window Curtain,1733,1039,Skipper Blends Aqua Striped Eyelet Window Curtain,1731,1279
270,2515bfc0dec128d2cb28f4ef746a8a25,"Turbo MSE TEST LITE Batting Gloves (Men, White, Orange)",1637,818,"Turbo MSE TEST LITE Batting Gloves (Men, White, Orange)",1623,909
271,29aeefacacff351b64846880150d6224,"Turbo LEAGUE Batting Gloves (Men, White, Blue)",1232,616,"Turbo LEAGUE Batting Gloves (Men, White, Blue)",1230,717
272,4889f91f48c3e1260a8fb3b3b83fe6f2,Pure Source Psi-As-Hanggnrlx Relaxing Liquid Air Freshener,1250,375,Pure Source Psi-As-Hanggnrlx Relaxing Liquid Air Freshener,1238,457
276,370b76dcd0ef56452d49b818189d453e,"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Opal Ring",2746,687,"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Opal Ring",2729,760
277,af17711a2f254175187bb14737471681,"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Opal Ring",2973,743,"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Opal Ring",2972,948
278,d42067f653fe816e1fbb3eb5b7b9e47f,"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Amethyst Ring",1937,968,"Asian Gems & Jewels 5 Dhaatu Metal, Alloy Amethyst Ring",1935,1069
279,fb6e9a2a739b21ac7291d559156d3acd,Kings Multicolor Tassels,1000,249,Kings Multicolor Tassels,981,274
283,cb235b669dbf76d72ab1608a01ff61db,Yepme Women's Gathered Dress,1799,799,Yepme Women's Gathered Dress,1796,984
285,0ddebfa97cb83ee0c86f108641ef5189,Eshoppee Laughing Buddha For Success And Wealth Showpiece  -  12 cm,799,399,Eshoppee Laughing Buddha For Success And Wealth Showpiece  -  12 cm,791,463
